YSKX3,Putting a pillow somewhere|Taking a pillow from somewhere|Throwing a pillow somewhere|Holding a pillow|Tidying up a blanket/s,278
T5ECU,Holding a vacuum|Watching/Looking outside of a window|Someone is smiling|Someone is standing up from somewhere|Sitting in a chair|Holding a dish|Someone is going from standing to sitting|Drinking from a cup/glass/bottle|Drinking from a cup/glass/bottle|Drinking from a cup/glass/bottle|Someone is laughing|Taking a vacuum from somewhere|Someone is running somewhere|Holding a cup/glass/bottle of something,940
AAH6R,Sitting in a chair|Someone is going from standing to sitting|Someone is dressing|Watching something/someone/themselves in a mirror|Someone is undressing,112
015XE,Holding a phone/camera|Taking a picture of something|Playing with a phone/camera|Someone is standing up from somewhere,982
TJZ0P,Holding a sandwich|Putting a book somewhere|Sitting in a chair|Eating a sandwich|Putting a sandwich somewhere|Holding a book|Someone is sneezing|Sitting at a table|Someone is holding a paper/notebook|Taking paper/notebook from somewhere|Someone is eating something|Taking food from somewhere|Taking a sandwich from somewhere|Closing a book|Opening a book|Watching/Reading/Looking at a book|Holding some food|Putting some food somewhere|Taking a book from somewhere|Putting something on a table|Putting something on a shelf|Working on paper/notebook|Putting their paper/notebook somewhere,532
B82GJ,Holding a towel/s|Taking a towel/s from somewhere|Someone is cooking something|Someone is sneezing,736
A1BS2,Closing a door|Washing something with a towel|Opening a closet/cabinet|Watching something/someone/themselves in a mirror|Watching something/someone/themselves in a mirror|Putting a cup/glass/bottle somewhere|Putting a cup/glass/bottle somewhere|Opening a door|Walking through a doorway|Tidying up a towel/s|Holding a towel/s|Taking a towel/s from somewhere|Putting a towel/s somewhere|Turning off a light|Holding a cup/glass/bottle of something|Tidying up a closet/cabinet,447
ZBBOO,Drinking from a cup/glass/bottle|Holding a box|Drinking from a cup/glass/bottle|Holding a cup/glass/bottle of something|Holding a book,653
AF8I2,Working on paper/notebook|Putting some food somewhere|Someone is eating something|Taking a book from somewhere|Someone is smiling|Someone is smiling|Taking paper/notebook from somewhere|Putting a dish/es somewhere|Holding a book|Holding some food|Taking food from somewhere|Someone is laughing|Sitting on the floor|Someone is holding a paper/notebook|Opening a book,1020
4WVTC,Holding a blanket|Taking a blanket from somewhere|Taking a towel/s from somewhere|Throwing something on the floor|Working/Playing on a laptop|Holding a towel/s|Putting a laptop somewhere|Someone is standing up from somewhere|Holding a laptop|Tidying up a blanket/s|Closing a laptop,359
T56KO,Putting clothes somewhere|Tidying some clothes|Taking some clothes from somewhere|Holding some clothes|Taking some clothes from somewhere|Someone is undressing|Holding a towel/s|Putting a towel/s somewhere|Tidying up a towel/s|Holding a towel/s|Taking a towel/s from somewhere,661
